frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
25,50,1.0,b1e1a7b8-b397c445,580,faster_rcnn_inception_v2_coco_2018_01_28,424,10,16,16
25,50,1.0,b1e1a7b8-b397c445,520,ssd_inception_v2_coco_2018_01_28,292,0,0,0
25,50,1.0,b1e1a7b8-b397c445,540,ssd_inception_v2_coco_2018_01_28,281,11,0,5
25,50,1.0,b1e1a7b8-b397c445,580,ssd_inception_v2_coco_2018_01_28,281,8,3,7
25,50,5.0,b1e1a7b8-b397c445,640,faster_rcnn_inception_v2_coco_2018_01_28,447,2,1,2
25,50,5.0,b1e1a7b8-b397c445,660,faster_rcnn_inception_v2_coco_2018_01_28,427,14,9,9
25,50,5.0,b1e1a7b8-b397c445,720,faster_rcnn_inception_v2_coco_2018_01_28,447,2,1,3
25,50,5.0,b1e1a7b8-b397c445,640,ssd_inception_v2_coco_2018_01_28,290,2,0,0
25,50,5.0,b1e1a7b8-b397c445,660,ssd_inception_v2_coco_2018_01_28,259,24,9,3
25,50,5.0,b1e1a7b8-b397c445,720,ssd_inception_v2_coco_2018_01_28,291,1,0,2
25,50,10.0,b1e1a7b8-b397c445,460,faster_rcnn_inception_v2_coco_2018_01_28,436,10,4,8
25,50,10.0,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,351,50,49,26
25,50,10.0,b1e1a7b8-b397c445,680,faster_rcnn_inception_v2_coco_2018_01_28,448,2,0,2
25,50,10.0,b1e1a7b8-b397c445,460,ssd_inception_v2_coco_2018_01_28,260,24,8,3
25,50,10.0,b1e1a7b8-b397c445,500,ssd_inception_v2_coco_2018_01_28,140,135,17,5
25,50,10.0,b1e1a7b8-b397c445,680,ssd_inception_v2_coco_2018_01_28,291,1,0,0
25,50,15.0,b1e1a7b8-b397c445,400,faster_rcnn_inception_v2_coco_2018_01_28,417,11,22,19
25,50,15.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,337,69,44,25
25,50,15.0,b1e1a7b8-b397c445,620,faster_rcnn_inception_v2_coco_2018_01_28,306,76,68,63
25,50,15.0,b1e1a7b8-b397c445,400,ssd_inception_v2_coco_2018_01_28,287,3,2,7
25,50,15.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,182,90,20,13
25,50,15.0,b1e1a7b8-b397c445,620,ssd_inception_v2_coco_2018_01_28,158,109,25,30
25,50,20.0,b1e1a7b8-b397c445,340,faster_rcnn_inception_v2_coco_2018_01_28,442,7,1,10
25,50,20.0,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,335,73,42,25
25,50,20.0,b1e1a7b8-b397c445,340,ssd_inception_v2_coco_2018_01_28,291,1,0,2
