frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
25,32,10.0,VIRAT_S_010203_00_000047_000139,7,ssd_inception_v2_coco_2018_01_28,290,3,1,4
25,75,20.0,VIRAT_S_000205_02_000409_000566,5,ssd_inception_v2_coco_2018_01_28,5155,101,76,9
750,75,1.0,VIRAT_S_010204_11_001524_001607,3,ssd_inception_v2_coco_2018_01_28,27,12,0,5
750,32,0.1,VIRAT_S_010204_11_001524_001607,7,faster_rcnn_inception_v2_coco_2018_01_28,245,22,0,4
750,75,0.1,VIRAT_S_050201_10_001992_002056,9,ssd_inception_v2_coco_2018_01_28,653,287,293,23
259,200,20.0,VIRAT_S_050000_10_001462_001491,0,faster_rcnn_inception_v2_coco_2018_01_28,514,368,195,15
511,32,1.0,VIRAT_S_040103_08_001475_001512,0,faster_rcnn_inception_v2_coco_2018_01_28,906,0,3,0
259,200,10.0,VIRAT_S_010208_02_000150_000180,1,ssd_inception_v2_coco_2018_01_28,0,107,0,0
25,200,40.0,VIRAT_S_050000_10_001462_001491,7,faster_rcnn_inception_v2_coco_2018_01_28,1011,50,16,8
511,32,0.1,VIRAT_S_010208_10_000904_000991,3,faster_rcnn_inception_v2_coco_2018_01_28,1013,4,3,1
511,75,20.0,VIRAT_S_010208_07_000768_000791,5,ssd_inception_v2_coco_2018_01_28,41,16,0,7
511,200,10.0,VIRAT_S_010204_07_000942_000989,7,ssd_inception_v2_coco_2018_01_28,63,111,1,6
511,32,40.0,VIRAT_S_010001_03_000537_000563,0,faster_rcnn_inception_v2_coco_2018_01_28,483,64,74,9
25,200,40.0,VIRAT_S_010204_07_000942_000989,3,faster_rcnn_inception_v2_coco_2018_01_28,234,327,7,3
750,32,1.0,VIRAT_S_010110_06_000953_001011,0,ssd_inception_v2_coco_2018_01_28,1111,273,31,13
511,75,1.0,VIRAT_S_010208_08_000807_000831,0,ssd_inception_v2_coco_2018_01_28,15,0,0,3
25,200,10.0,VIRAT_S_040103_03_000284_000425,6,ssd_inception_v2_coco_2018_01_28,974,1650,378,12
750,75,1.0,VIRAT_S_010200_01_000254_000322,0,faster_rcnn_inception_v2_coco_2018_01_28,407,150,4,15
750,75,1.0,VIRAT_S_040104_04_000854_000934,3,ssd_inception_v2_coco_2018_01_28,34,690,7,3
511,32,20.0,VIRAT_S_000201_02_000590_000623,6,ssd_inception_v2_coco_2018_01_28,506,519,5,0
750,200,0.1,VIRAT_S_040104_04_000854_000934,5,ssd_inception_v2_coco_2018_01_28,291,369,71,10
511,200,40.0,VIRAT_S_010203_00_000047_000139,9,ssd_inception_v2_coco_2018_01_28,55,236,3,2
511,32,20.0,VIRAT_S_010205_04_000545_000576,5,ssd_inception_v2_coco_2018_01_28,11,3,0,2
511,32,1.0,VIRAT_S_050201_10_001992_002056,9,ssd_inception_v2_coco_2018_01_28,999,85,149,7
750,32,10.0,VIRAT_S_040103_03_000284_000425,1,faster_rcnn_inception_v2_coco_2018_01_28,4102,63,92,10
259,75,1.0,VIRAT_S_050201_10_001992_002056,2,faster_rcnn_inception_v2_coco_2018_01_28,1930,604,74,24
25,32,1.0,VIRAT_S_040104_04_000854_000934,7,ssd_inception_v2_coco_2018_01_28,729,1,1,85
511,75,10.0,VIRAT_S_050000_02_000404_000486,1,faster_rcnn_inception_v2_coco_2018_01_28,2086,948,583,112
511,32,10.0,VIRAT_S_010004_01_000163_000188,0,ssd_inception_v2_coco_2018_01_28,122,58,1,1
259,200,0.1,VIRAT_S_040103_08_001475_001512,0,faster_rcnn_inception_v2_coco_2018_01_28,748,15,146,0
511,32,40.0,VIRAT_S_010201_08_000705_000739,8,ssd_inception_v2_coco_2018_01_28,53,2,1,23
511,32,0.1,VIRAT_S_010203_00_000047_000139,6,faster_rcnn_inception_v2_coco_2018_01_28,1192,2,0,1
511,200,5.0,VIRAT_S_010204_03_000606_000632,4,ssd_inception_v2_coco_2018_01_28,5,11,0,1
511,200,40.0,VIRAT_S_010201_08_000705_000739,2,faster_rcnn_inception_v2_coco_2018_01_28,73,204,1,185
750,32,20.0,VIRAT_S_040104_04_000854_000934,2,faster_rcnn_inception_v2_coco_2018_01_28,1682,78,30,22
750,200,20.0,VIRAT_S_050000_10_001462_001491,6,ssd_inception_v2_coco_2018_01_28,0,368,0,2
750,32,40.0,VIRAT_S_010200_01_000254_000322,2,ssd_inception_v2_coco_2018_01_28,33,5,0,5
750,200,10.0,VIRAT_S_010204_11_001524_001607,1,ssd_inception_v2_coco_2018_01_28,12,27,0,1
511,32,1.0,VIRAT_S_010207_10_001549_001596,7,faster_rcnn_inception_v2_coco_2018_01_28,435,4,2,2
511,200,1.0,VIRAT_S_010208_02_000150_000180,1,faster_rcnn_inception_v2_coco_2018_01_28,266,103,0,44
750,75,1.0,VIRAT_S_010204_03_000606_000632,6,ssd_inception_v2_coco_2018_01_28,7,9,0,1
25,200,20.0,VIRAT_S_010208_10_000904_000991,9,ssd_inception_v2_coco_2018_01_28,92,139,6,0
511,200,10.0,VIRAT_S_050201_10_001992_002056,8,ssd_inception_v2_coco_2018_01_28,0,1233,0,0
